,dataset,graph,representation,index,train accuracy,validation accuracy
150,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,milepost,all_features_O0,round1,0.28733333945274353,0.2939999997615814
151,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompactnoroot,all_features_bag_of_words_O0,round1,0.34200000762939453,0.31200000643730164
152,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_inst2vec_O0,round1,0.2639999985694885,0.2460000067949295
153,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_bag_of_words_O0,round1,0.3086666762828827,0.2919999957084656
154,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_ir2vec_O0,round1,0.2840000092983246,0.26600000262260437
155,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_inst2vec_O0,round1,0.21466666460037231,0.2280000001192093
156,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_bag_of_words_O0,round1,0.2606666684150696,0.2619999945163727
157,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_ir2vec_O0,round1,0.20800000429153442,0.2280000001192093
158,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_inst2vec_O0,round3,0.3453333377838135,0.3059999942779541
159,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_bag_of_words_O0,round3,0.30933332443237305,0.2840000092983246
160,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_ir2vec_O0,round3,0.2919999957084656,0.3019999861717224
161,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,llvm_histogram,all_features_O0,round3,0.44200000166893005,0.36000001430511475
162,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_inst2vec_O0,round3,0.26466667652130127,0.25200000405311584
163,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_bag_of_words_O0,round3,0.27000001072883606,0.24400000274181366
164,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_ir2vec_O0,round3,0.2513333261013031,0.25999999046325684
165,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,rbp,all_features_O0,round3,0.2460000067949295,0.23999999463558197
166,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,ir2vec.program,all_features_O0,round3,0.382666677236557,0.33799999952316284
167,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,prog2image,all_features_O0,round3,0.9313333630561829,0.3100000023841858
168,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,inst2vec.lower,all_features_O0,round3,0.24199999868869781,0.24199999868869781
